OBJ_ID;NAME;OTYPE_ID;OTYPE_NAME;SYSTEM_STATUS;LV_ID;MASTER_RECORD;LTYPE_ID;LTYPE_NAME;ORIGINAL_FILENAME;BINARY_FILENAME;CATEGORY_TREE_NAMES;CATEGORY_TREE_IDS;AGENCY;DESCRIPTION;LINKED_CATEGORIES;MEDIATYPE;ORIG_BE_ID;TITLE;PRIMEMEDIAPOOL$DEFAULT$RELATED_COUNTRIES;RELATED_DOCUMENT[USAGE]
"413849";"MeasureOn_Newsletter_mobile";"25";"Document - Web";"ok";"";"x";"";"";"";"";"PT Digital Archive 2008||Measuring Technology||Bosch MT Professional||Campaigns||2023||MeasureOn";"15388||18595||18596||3034776||8427356||9051514";"Serviceplan MAKE";"MeasureOn";"";"Banners";"";"MeasureOn Newsletter mobile";"";"413850,413851,413852"
"413875";"ODP_MeasureOn_728x90_animated";"25";"Document - Web";"ok";"";"x";"";"";"";"";"PT Digital Archive 2008||Measuring Technology||Bosch MT Professional||Campaigns||2023||MeasureOn";"15388||18595||18596||3034776||8427356||9051514";"Serviceplan MAKE";"ODP MeasureOn";"";"Banners";"";"ODP MeasureOn 728x90 animated";"";""
