OBJ_ID;NAME;OTYPE_ID;OTYPE_NAME;BHAVINDERA;SYSTEM_STATUS;LV_ID;MASTER_RECORD;LTYPE_ID;LTYPE_NAME;ORIGINAL_FILENAME;BINARY_FILENAME;CATEGORY_TREE_NAMES;CATEGORY_TREE_IDS;AGENCY;LANGUAGES;ORIG_BE_ID;PRIMEMEDIAPOOL$DEFAULT$RELATED_COUNTRIES
"404262";"1 609 92A 7R5_2211";"19";"Language version";"TESTA";"new";"2941811";"x";"21";"ORIGINAL_PDF";"160992A7R5_202211.pdf";"BOEWMDB5_o404262v21_160992A7R5_202211.pdf";"";"";"";"fr,lv,pl,hr,en-GB,bg,sv,es,sk,pt-PT,no,el,et,ru,fi,hu,tr,sr,da,sl,de,lt,nl,ro,it,cs";"";""
"413730";"1 609 92A 8GA_2303";"19";"Language version";"";"ok";"3056538";"x";"21";"ORIGINAL_PDF";"160992A8GA_202303.pdf";"BOEWMDB5_o413730v21_160992A8GA_202303.pdf";"";"";"";"id,fr,en-GB,th,ar,zh-TW,pt-PT,fa,zh-CN,vi";"";"AE,CN,CZ,HR,HU,IN,KW,MIE,PL,RO,RS,SI,SK,TR,00"
"413853";"1 609 92A 8ML_2305";"19";"Language version";"TESTA";"new";"3057023";"x";"22";"PREVIEW_JPG";"4aa6ef54-d3b7-451a-ac0b-583dbabd5a05_MPE_Preview.jpg";"BOEWMDB5_o413853v22_4aa6ef54-d3b7-451a-ac0b-583dbabd5a05_MPE_Preview.jpg";"";"";"";"fr,lv,pl,hr,en-GB,bg,uk,sv,ar,mk,es,sk,kk,pt-PT,no,el,et,ru,fi,fa,hu,tr,sr,da,sl,de,lt,nl,ro,it,cs,ko";"";""
"413853";"1 609 92A 8ML_2305";"19";"Language version";"";"new";"3057022";"";"290";"ZIP";"160992A8ML_202305.zip";"BOEWMDB5_o413853v290_160992A8ML_202305.zip";"";"";"";"fr,lv,pl,hr,en-GB,bg,uk,sv,ar,mk,es,sk,kk,pt-PT,no,el,et,ru,fi,fa,hu,tr,sr,da,sl,de,lt,nl,ro,it,cs,ko";"";""
