OBJ_ID;NAME;OTYPE_ID;OTYPE_NAME;SYSTEM_STATUS;LV_ID;MASTER_RECORD;LTYPE_ID;LTYPE_NAME;ORIGINAL_FILENAME;BINARY_FILENAME;CATEGORY_TREE_NAMES;CATEGORY_TREE_IDS;AGENCY;BRAND;CONTACT;DEPT;DESCRIPTION;DESCRIPTION_POD;ILABEL;IMG_TYPE;INIT_NAME;KEYWORDS;ORIG_BE_ID;PERSPECTIVE;PHOTOGRAPHER;SYMBOLIMG_DESCRIPTION;PRIMEMEDIAPOOL$DEFAULT$RELATED_COUNTRIES
"413745";"UniversalCut_18V-65_015_mit_LEDs_Cutting_Depth_Plastic_30_mm_3200x2400px";"16";"Images Bosch";"ok";"3056608";"x";"12";"HIRES_TIFF_CMYK";"UniversalCut_18V-65_015_mit_LEDs_Cutting_Depth_Plastic_30_mm_3200x2400px.tif";"BOEWMDB5_o413745v12_UniversalCut_18V-65_015_mit_LEDs_Cutting_Depth_Plastic_30_mm_3200x2400px.tif";"Image Database||Bosch DIY||Product & Application Images||Cordless tools||Cordless NanoBlade saw||UniversalCut 18V-65";"2||13003||13057||13058||3016235||8396502";"";"";"";"PT-HG / EXI";"";"";"";"Application image";"Andreas Pritschet";"";"";"";"";"";"AE,AFR,AO,AR,AT,AU,BG,BN,BO,BR,CAM,CH,CL,CN,CO,CZ,DE,DK,DZ,EC,EE,EG,ES,FI,FR,GB,GH,GR,HK,HR,HU,ID,IL,IN,IQ,IR,IT,JO,JP,KE,KR,KW,LB,LT,LV,MA,MIE,MX,MY,MZ,NG,NO,NZ,OM,PA,PE,PH,PK,PL,PT,PY,QA,RO,RS,RU,SA,SE,SG,SI,SK,TH,TN,TR,TW,TZ,UA,UY,VE,VN,ZA,00"
"413877";"Zamo4_6082765LN0-AA_3D_2000x2000px-413877";"16";"Images Bosch";"ok";"3057203";"x";"12";"HIRES_TIFF_CMYK";"Zamo4_6082765LN0-AA_3D_2000x2000px.tif";"BOEWMDB5_o413877v12_Zamo4_6082765LN0-AA_3D_2000x2000px.tif";"Image Database||Bosch DIY||Product & Application Images||Digital Measuring Tools||Laser measures||Zamo";"2||13003||13057||13325||13736||3014807";"Hössler & Hössler";"";"";"PT-MT / MKX-EA";"";"";"";"Packaging image";"";"";"";"";"";"";""
